gx,gy,observed,devices,officers,evening_share,poi_demand,lat,lon,top_station,name,demand_index,reliable,CIS,blind_spot
17239,2883,17647,84,75,0.0003966679888932963,0.03502011673372245,12.976285702363008,77.57740168818496,Upparpet,BTP040 - Elite Junction,205.19767441860466,True,51.61397593547535,36.87736626653939
17241,2904,5447,28,22,0.0,0.03120984027905269,13.071045679175148,77.58792325101433,Kodigehalli,Sahakar Nagar Road,181.56666666666666,True,41.79477563380387,39.693260713564314
17246,2884,12660,75,68,0.0,0.030252764612954185,12.981120320406966,77.60921567682536,Shivajinagar,BTP051 - Safina Plaza Junction,164.41558441558442,True,48.76932720937408,36.049518752905676
17264,2874,6883,45,40,0.0,0.7801830597123347,12.93397216783416,77.69090904942891,HAL Old Airport,New Horizon College Road,146.4468085106383,True,53.37329366314081,45.30876364107972
17270,2881,1338,9,8,0.0,0.7301943198804185,12.965468273841553,77.71788253161435,HAL Old Airport,ITPL Main Road,121.63636363636364,True,48.22195697403811,57.01681395368753
17253,2863,547,3,3,0.0,0.009140767824497258,12.885639150653839,77.64147282822151,Hulimavu,Hosur Road,109.4,True,38.92161867267878,53.81357969568903
17254,2853,1632,13,12,0.0,0.20159313725490197,12.841849818014706,77.64558848455883,Electronic City,Neeladri Road,108.8,True,39.95584308463655,44.3052624548436
17270,2880,830,6,5,0.0,0.9349397590361446,12.96297741879518,77.7173440307229,HAL Old Airport,ITPL Main Road,103.75,True,50.130396661961576,63.18058109200085
17239,2880,7507,85,70,0.12854668975622752,0.9948048488077794,12.96377156955796,77.57730956075241,City Market,BTP082 - KR Market Junction,86.28735632183908,True,65.18551062154376,41.281406230971896
17245,2869,384,3,3,0.0,0.0,12.913608571093748,77.60552248828125,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",76.8,True,23.536892433929893,32.54243990811321
17232,2883,5124,65,63,0.00039032006245121,0.7355581576893052,12.974599337160402,77.54565224199563,Vijayanagara,BTP020 - Hosahalli Metro Station,76.4776119402985,True,53.89549218943092,41.4873359958129
17262,2929,2703,36,35,0.002589715131335553,0.0,13.184064016533481,77.6798520046726,Chikkajala,Unnamed Road,71.13157894736842,True,45.72075090107652,40.91512921379314
17242,2896,2133,28,26,0.0009376465072667605,0.0032817627754336614,13.035491096948162,77.5891306579653,Hebbala,Bellary Road,71.1,True,38.61343734388382,36.64966865854367
17258,2887,851,10,12,0.0035252643948296123,0.917743830787309,12.993637709417133,77.66269237894919,Banaswadi,Old Madras Road,70.91666666666667,True,45.24448607579989,52.45609844530326
17274,2886,551,6,7,0.0,0.0,12.987690504537206,77.73463817731397,Mahadevapura,Whitefield Road,68.875,True,34.21778950678961,43.125527996533165
17233,2887,755,9,8,0.0,0.1403973509933775,12.993380086887418,77.5524192765563,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",68.63636363636364,True,39.785464741757536,47.04165039305797
17245,2885,4557,65,62,0.026991441737985518,0.007022163704191354,12.984106527847953,77.60392456237203,Shivajinagar,BTP211 - Central Street Junction,68.01492537313433,True,44.96005055728195,33.875169513827736
17234,2890,3353,50,46,0.0047718461079630185,0.0038771249627199524,13.008478477602146,77.55491032105577,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",64.48076923076923,True,49.517992638781934,40.774447249210446
17238,2884,4051,64,58,0.0004937052579609973,0.08318933596642804,12.979273278696619,77.57439229997532,Upparpet,BTP057 - Anand Rao Junction,61.378787878787875,True,46.94062168383753,36.28728944179494
